0003^129^9595000007908003^^1.00^156^  ^9595000007901004^ 129修改金额客-客^
0003^129^9595000008110001^^2.00^156^  ^9595000007901004^ 129修改金额客-客^
0003^129^9595915603000379^^3.00^156^  ^9595000008110001^ 229修改金额平-客^
0003^129^9595000007901004^^4.00^156^  ^9595915603000379^ 129修改金额客-平^
0003^129^9595000007908003^^5.00^156^  ^9595000007901004^ 129修改金额客-客^1^
0003^129^9595000008110001^^6.00^156^  ^9595000007901004^ 129修改金额客-客^1^
0003^129^9595915603000379^^7.00^156^  ^9595000008110001^ 229修改金额平-客^
0003^129^9595915603000379^^7.00^156^  ^9595000008110001^ 229修改金额平-客-反^1^
0003^129^9595000007901004^^8.00^156^  ^9595915603000379^ 129修改金额客-平^1^
0003^129^9595000005801019^2238^1.00^156^1^9595000007701008^ 129修改份额客-客-双向^
0003^129^                ^2285^2.00^156^2^9595000007901004^ 229修改份额---客-单向增加^
0003^129^9595000007901004^2285^3.00^156^3^                ^ 129修改份额---客-单向减少^
0003^129^9595000007701008^2244^9.00^156^4^9595000008110001^ 129修改份额客-客-双向^
0003^129^                ^2285^8.00^156^5^9595000007901004^ 229修改份额---客-单向增加^
0003^129^9595000007901004^2285^7.00^156^6^                ^ 129修改份额---客-单向减少^
0003^129^9595000007701008^2244^7.00^156^7^9595000008110001^ 129修改份额客-客-双向^1^
0003^129^                ^2285^8.00^156^8^9595000007901004^ 229修改份额---客-单向增加^1^
0003^129^9595000007901004^2285^1.00^156^9^                ^ 129修改份额---客-单向减少^1^
